"Source:","/home/florian/projecten/glycon/doc/kicad/glycon.kicad_sch"
"Date:","za 26 mrt 2022 12:57:02 CET"
"Tool:","Eeschema (6.99.0-588-g9b3e9082d3)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","53"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Allied Price/Stock","Allied_Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock"
"","","U10","74HC244","74xx:74HC244","Package_DIP:DIP-20_W7.62mm_Socket","https://assets.nexperia.com/documents/data-sheet/74HC_HCT244.pdf","","","","","","","","","",""
"","","U11","PIO-DIP-40","Zilog_Z80_Peripherals:PIO-DIP-40","Package_DIP:DIP-40_W15.24mm_Socket","https://www.zilog.com/appnotes_download.php?FromPage=DirectLink&dn=PS0180&ft=Product%20Specification%20(Data%20Sheet)%20%20&f=YUhSMGNEb3ZMM2QzZHk1NmFXeHZaeTVqYjIwdlpHOWpjeTk2T0RBdmNITXdNVGd3TG5Ca1pnPT0=","","","","","","","","","",""
"","","U12","CTC-DIP-28","Zilog_Z80_Peripherals:CTC-DIP-28","Package_DIP:DIP-28_W15.24mm_Socket","http://www.zilog.com/docs/z80/ps0181.pdf","","","Z8430 Zilog CTC","5.21","Zilog","Z84C3010PEG","692-Z84C3010PEG","https://www.mouser.com/Search/Refine.aspx?Keyword=692-Z84C3010PEG","",""
"","","X1","ACO-6.144MHz","Oscillator:ACO-xxxMHz","Oscillator:Oscillator_DIP-14","http://www.conwin.com/datasheets/cx/cx030.pdf","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Allied Price/Stock","Allied_Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock"
"1","13","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13","100nF","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"2","1","D1","LED","Device:LED","LED_THT:LED_D5.0mm","~","","","","","","","","","",""
"3","5","H1, H2, H3, H4, H5","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~","","","","","","","","","",""
"4","1","J1","Arduino/system bus header","Connector_Generic:Conn_02x20_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","~","","","","","","","","","",""
"5","1","J2","PMOD USBUART conn","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","","","","","",""
"6","1","J3","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","",""
"7","1","J4","Conn_02x24_Odd_Even","Connector_Generic:Conn_02x24_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x24_P2.54mm_Vertical","~","","","","","","","","","",""
"8","2","Q1, Q2","IRF9540N","Transistor_FET:IRF9540N","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf9540n.pdf","","","","","","","","","",""
"9","10","R1, R2, R3, R4, R5, R6, R7, R9, R10, R11","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","","","",""
"10","1","R8","1K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","","","",""
"11","1","R12","470","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","","","",""
"12","2","SW1, SW2","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~","","","","","","","","","",""
"13","1","U0","Z80CPU","CPU:Z80CPU","Package_DIP:DIP-40_W15.24mm_Socket","www.zilog.com/manage_directlink.php?filepath=docs/z80/um0080","","","","","","","","","",""
"14","1","U1","628128_DIP32_SSOP32","Memory_RAM:628128_DIP32_SSOP32","Package_DIP:DIP-32_W15.24mm_Socket","http://www.futurlec.com/Datasheet/Memory/628128.pdf","","","","","","","","","",""
"15","1","U2","SST39SF010","Memory_Flash:SST39SF010","Package_DIP:DIP-32_W15.24mm_Socket","http://ww1.microchip.com/downloads/en/DeviceDoc/25022B.pdf","","","","","","","","","",""
"16","1","U3","74HC32","74xx:74LS32","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS32","","","","","","","","","",""
"17","1","U4","74HC04","74xx:74HC04","Package_DIP:DIP-14_W7.62mm_Socket","https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf","","","","","","","","","",""
"18","1","U5","74LS21","74xx:74LS21","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS21","","","","","","","","","",""
"19","1","U6","74LS139","74xx:74LS139","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf","","","","","","","","","",""
"20","1","U7","SIO0-DIP-40","Zilog_Z80_Peripherals:SIO0-DIP-40","Package_DIP:DIP-40_W15.24mm_Socket","http://www.zilog.com/docs/z80/ps0183.pdf","https://www.alliedelec.com/zilog-z84c4206peg/R1000052/","R1000052","Z80 CMOS SIO/0 Z84C40 Zilog","4.06","Zilog","Z84C4206PEG","692-Z84C4206PEG","https://www.mouser.com/Search/Refine.aspx?Keyword=692-Z84C4206PEG","6600766","https://uk.rs-online.com/web/p/products/6600766"
"21","2","U8, U11","PIO-DIP-40","Zilog_Z80_Peripherals:PIO-DIP-40","Package_DIP:DIP-40_W15.24mm_Socket","https://www.zilog.com/appnotes_download.php?FromPage=DirectLink&dn=PS0180&ft=Product%20Specification%20(Data%20Sheet)%20%20&f=YUhSMGNEb3ZMM2QzZHk1NmFXeHZaeTVqYjIwdlpHOWpjeTk2T0RBdmNITXdNVGd3TG5Ca1pnPT0=","","","","","","","","","",""
"22","2","U9, U10","74HC244","74xx:74HC244","Package_DIP:DIP-20_W7.62mm_Socket","https://assets.nexperia.com/documents/data-sheet/74HC_HCT244.pdf","","","","","","","","","",""
"23","1","U12","CTC-DIP-28","Zilog_Z80_Peripherals:CTC-DIP-28","Package_DIP:DIP-28_W15.24mm_Socket","http://www.zilog.com/docs/z80/ps0181.pdf","","","Z8430 Zilog CTC","5.21","Zilog","Z84C3010PEG","692-Z84C3010PEG","https://www.mouser.com/Search/Refine.aspx?Keyword=692-Z84C3010PEG","",""
"24","1","X1","ACO-6.144MHz","Oscillator:ACO-xxxMHz","Oscillator:Oscillator_DIP-14","http://www.conwin.com/datasheets/cx/cx030.pdf","","","","","","","","","",""
